date,stock_code,stock_name,margin_balance,margin_purchase_amount,margin_repayment_amount,short_selling_balance,short_selling_volume,short_selling_repayment_volume
2023-09-22,515220,煤炭ETF,37785362,4488921,7720636,6252227,1136100,1593600
2023-09-22,515230,软件ETF,29191245,2355379,3827898,22440700,1644300,7464000
2023-09-22,515250,智能汽车,22353823,5091902,943863,19033600,5830200,5473900
2023-09-22,515260,电子ETF,7730685,453876,568522,0,0,0
2023-09-22,515290,银行,14350590,3441809,2007605,3978500,1904000,1944000
2023-09-22,515330,天弘300,6284079,43659,189287,44200,0,0
2023-09-22,515380,泰康300,43527704,400754,1331060,70000,0,0
2023-09-22,515400,大数据,27477104,8289594,3561077,18163900,2962400,16262800
2023-09-22,515600,央企创新,494487,1315,186193,0,0,0
2023-09-22,515650,消费50,34671990,1729701,2142532,0,0,0
2023-09-22,515700,新能车,141419856,7610154,6537948,8990600,3156300,2116100
2023-09-22,515710,食品ETF,6911541,534991,271848,0,0,0
2023-09-22,515750,科技50,6445402,836079,747851,0,0,0
2023-09-22,515790,光伏ETF,518373929,59879625,63142154,56822335,12674600,18591561
2023-09-22,515800,800ETF,30403559,17208129,2414632,0,0,0
2023-09-22,515880,通信ETF,50674573,17546073,7994434,7556598,275800,284600
2023-09-22,515900,央创ETF,3368486,21052,192998,0,0,0
2023-09-22,515950,医药龙头,10388065,280244,145937,0,0,0
2023-09-22,515980,人工智能,21424325,6444449,4573132,0,0,0
2023-09-22,516010,游戏ETF,22614117,8524353,16764089,14751700,851700,0
2023-09-22,516020,化工ETF,6854307,412024,104438,0,0,0
2023-09-22,516090,新能源E,21355052,3227436,3683481,1000000,0,0
2023-09-22,516110,汽车ETF,10619242,2333797,609809,12317800,0,0
2023-09-22,516150,稀土基金,14306953,2433568,236823,1500000,1000000,862800
2023-09-22,516160,新能源,318081372,14580022,17581152,23785288,3460000,3548800
2023-09-22,516390,电动车,6862934,791835,642807,0,0,0
2023-09-22,516510,云计算,25040805,5463551,7502721,12626671,1926671,1926700
2023-09-22,516640,芯片龙头,19679789,1342709,1591325,1000000,1000000,973400
2023-09-22,516670,畜牧养殖,5469873,820009,402553,0,0,0
2023-09-22,516780,稀土ETF,17371526,611164,412505,1211000,0,0
2023-09-22,516820,医疗创新,64082652,3984415,4761413,0,0,0
2023-09-22,516880,光伏50,31073767,1662064,2000966,5619000,0,0
2023-09-22,516950,基建ETF,9796475,1653502,2466064,4437800,1032600,1044800
2023-09-22,516970,基建50,29270577,1120509,2197112,11481302,1717200,824300
2023-09-22,517050,互联网50,4205412,8413,30367,0,0,0
2023-09-22,517080,HGS500,14357444,146,1670161,0,0,0
2023-09-22,517090,共赢ETF,1984918,489008,529623,0,0,0
2023-09-22,517180,中国国企,8325986,5492980,4352878,0,0,0
2023-09-22,517300,AH300ETF,968006,1356,11543,0,0,0
2023-09-22,518800,黄金基金,574385330,21460921,21142989,0,0,0
2023-09-22,518880,黄金ETF,12949914762,94059690,96473952,13800,0,0
2023-09-22,560010,1000基金,13691542,5851155,4465170,341798936,4126569,4170953
2023-09-22,560050,MSCIA50,32529916,786475,2546689,0,0,0
2023-09-22,560070,央企分红,3771705,12573,1215366,0,0,0
2023-09-22,560080,中药ETF,25978478,2068664,3259237,5596400,1310700,1310700
2023-09-22,560090,证券指数,2839263,930277,2344933,0,0,0
2023-09-22,560110,ZZ1000,696988,10339,23557,0,0,0
2023-09-22,560500,500质量,2355274,2206,1230,0,0,0
2023-09-22,560550,碳中和,1045621,4724,51125,0,0,0
2023-09-22,560700,央红利50,2357417,113138,189472,0,0,0
2023-09-22,560800,数字ETF,39526029,3633952,4001789,2499923,0,0
2023-09-22,560880,家电基金,323881,401366,402388,0,0,0
2023-09-22,561160,锂电池,24971269,2294409,1177399,3295300,1295300,1338600
2023-09-22,561190,双碳ETF,3367596,77213,161715,0,0,0
2023-09-22,561300,300增ETF,4094023,298753,390675,0,0,0
2023-09-22,561350,国泰500,1611548,5046,269517,36336600,4811400,60000
2023-09-22,561550,500指增,4464830,176284,33912,0,0,0
2023-09-22,561560,电力ETF,1596009,221963,88604,0,0,0
