"Stkcd","ShortName_EN","Accper","Typrep","F050501B"
"000012","NBA","2024-06-30","B","0.084684"
"000012","NBA","2024-09-30","A","0.053143"
"000012","NBA","2024-12-31","A","0.017682"
"000012","NBA","2024-12-31","B","0.098122"
"000012","NBA","2025-03-31","A","0.000656"
"000012","NBA","2025-06-30","A","0.004717"
"000012","NBA","2025-06-30","B","0.023868"
"000012","NBA","2025-09-30","A","0.010154"
"000012","NBA","2025-12-31","A","0.007771"
"000012","NBA","2025-12-31","B","0.059388"
"000012","NBA","2026-03-31","A","-0.007701"
"000014","SHGF","2024-06-30","A","0.031644"
"000014","SHGF","2024-06-30","B","0.007370"
"000014","SHGF","2024-09-30","A","0.027439"
"000014","SHGF","2024-12-31","A","0.010134"
"000014","SHGF","2024-12-31","B","-0.004906"
"000014","SHGF","2025-03-31","A","-0.005771"
"000014","SHGF","2025-06-30","A","-0.011558"
"000014","SHGF","2025-06-30","B","-0.010387"
"000014","SHGF","2025-09-30","A","-0.019770"
"000014","SHGF","2025-12-31","A","-0.098052"
"000014","SHGF","2025-12-31","B","-0.030717"
"000014","SHGF","2026-03-31","A","-0.004321"
"000016","SKJA","2024-06-30","A","-0.275347"
"000016","SKJA","2024-06-30","B","-0.119270"
"000016","SKJA","2024-09-30","A","-0.439574"
"000016","SKJA","2024-12-31","A","-1.738141"
"000016","SKJA","2024-12-31","B","-0.632120"
"000016","SKJA","2025-03-31","A","0.025048"
"000016","SKJA","2025-06-30","A","-0.307329"
"000016","SKJA","2025-06-30","B","0.067074"
"000016","SKJA","2025-09-30","A","-1.252710"
"000016","SKJA","2025-12-31","A",""
"000016","SKJA","2025-12-31","B","-4.476481"
"000016","SKJA","2026-03-31","A",""
"000017","SZHA","2024-06-30","A","0.016966"
"000017","SZHA","2024-06-30","B","0.011461"
"000017","SZHA","2024-09-30","A","0.021292"
"000017","SZHA","2024-12-31","A","0.043022"
"000017","SZHA","2024-12-31","B","0.026658"
"000017","SZHA","2025-03-31","A","0.015948"
"000017","SZHA","2025-06-30","A","0.050928"
"000017","SZHA","2025-06-30","B","0.020390"
"000017","SZHA","2025-09-30","A","0.081629"
"000017","SZHA","2025-12-31","A","0.105098"
"000017","SZHA","2025-12-31","B","0.056271"
"000017","SZHA","2026-03-31","A","0.015021"
"000019","SLKG","2024-06-30","A","0.027394"
"000019","SLKG","2024-06-30","B","0.017036"
"000019","SLKG","2024-09-30","A","0.050241"
"000019","SLKG","2024-12-31","A","0.065864"
"000019","SLKG","2024-12-31","B","0.226335"
"000019","SLKG","2025-03-31","A","0.018212"
"000019","SLKG","2025-06-30","A","0.035736"
"000019","SLKG","2025-06-30","B","0.006218"
"000019","SLKG","2025-09-30","A","0.048777"
"000019","SLKG","2025-12-31","A","0.048744"
"000019","SLKG","2025-12-31","B","0.043347"
"000019","SLKG","2026-03-31","A","0.012819"
"000020","SHFA","2024-06-30","A","0.026672"
"000020","SHFA","2024-06-30","B","0.019998"
"000020","SHFA","2024-09-30","A","0.037367"
"000020","SHFA","2024-12-31","A","0.091013"
"000020","SHFA","2024-12-31","B","0.041255"
"000020","SHFA","2025-03-31","A","0.014463"
"000020","SHFA","2025-06-30","A","0.034306"
"000020","SHFA","2025-06-30","B","0.018595"
"000020","SHFA","2025-09-30","A","0.050049"
"000020","SHFA","2025-12-31","A","0.080713"
"000020","SHFA","2025-12-31","B","0.039362"
"000020","SHFA","2026-03-31","A","0.011711"
"000021","SKJ","2024-06-30","A","0.036109"
"000021","SKJ","2024-06-30","B","-0.017895"
"000021","SKJ","2024-09-30","A","0.059991"
"000021","SKJ","2024-12-31","A","0.078475"
"000021","SKJ","2024-12-31","B","0.241651"
"000021","SKJ","2025-03-31","A","0.015143"
"000021","SKJ","2025-06-30","A","0.039088"
"000021","SKJ","2025-06-30","B","0.012567"
"000021","SKJ","2025-09-30","A","0.062376"
"000021","SKJ","2025-12-31","A","0.088895"
"000021","SKJ","2025-12-31","B","0.041879"
"000021","SKJ","2026-03-31","A","0.017352"
"000023","*ST ST","2024-06-30","A",""
"000023","*ST ST","2024-06-30","B","-0.044418"
"000025","TLA","2024-06-30","A","0.044240"
"000025","TLA","2024-06-30","B","0.067558"
"000025","TLA","2024-09-30","A","0.060872"
"000025","TLA","2024-12-31","A","0.073262"
"000025","TLA","2024-12-31","B","0.067461"
"000025","TLA","2025-03-31","A","0.016328"
"000025","TLA","2025-06-30","A","0.042159"
"000025","TLA","2025-06-30","B","0.061403"
"000025","TLA","2025-09-30","A","0.060100"
"000025","TLA","2025-12-31","A","0.070887"
"000025","TLA","2025-12-31","B","0.110868"
"000025","TLA","2026-03-31","A","0.017003"
"000026","FYD","2024-06-30","A","0.044381"
"000026","FYD","2024-06-30","B","0.005526"
"000026","FYD","2024-09-30","A","0.058630"
"000026","FYD","2024-12-31","A","0.064965"
"000026","FYD","2024-12-31","B","0.108340"
"000026","FYD","2025-03-31","A","0.013128"
"000026","FYD","2025-06-30","A","0.024732"
"000026","FYD","2025-06-30","B","0.000891"
"000026","FYD","2025-09-30","A","0.037021"
"000026","FYD","2025-12-31","A","0.026170"
"000026","FYD","2025-12-31","B","0.047033"
"000026","FYD","2026-03-31","A","0.019152"
"000027","SZNY","2024-06-30","A","0.036776"
"000027","SZNY","2024-06-30","B","0.000358"
"000027","SZNY","2024-09-30","A","0.047547"
"000027","SZNY","2024-12-31","A","0.045221"
"000027","SZNY","2024-12-31","B","-0.000299"
"000027","SZNY","2025-03-31","A","0.024274"
"000027","SZNY","2025-06-30","A","0.034580"
"000027","SZNY","2025-06-30","B","-0.000966"
"000027","SZNY","2025-09-30","A","0.043440"
"000027","SZNY","2025-12-31","A","0.047058"
"000027","SZNY","2025-12-31","B","0.001540"
"000027","SZNY","2026-03-31","A","0.023953"
"000028","GYYZ","2024-06-30","A","0.036070"
"000028","GYYZ","2024-06-30","B","0.063613"
"000028","GYYZ","2024-09-30","A","0.050598"
"000028","GYYZ","2024-12-31","A","0.011419"
"000028","GYYZ","2024-12-31","B","0.076250"
